,product_name,final_price,installment_price,uptaded_at,max_price,min_price
0,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 20:58:51,17399,17399
1,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 20:59:02,17399,17399
2,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 20:59:13,17399,17399
3,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 20:59:24,17399,17399
4,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 20:59:34,17399,17399
5,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 20:59:45,17399,17399
6,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 20:59:56,17399,17399
7,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:00:07,17399,17399
8,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:00:18,17399,17399
9,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:00:28,17399,17399
10,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:00:39,17399,17399
11,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:00:50,17399,17399
12,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:01:01,17399,17399
13,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:01:11,17399,17399
14,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:01:22,17399,17399
15,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:01:33,17399,17399
16,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:01:44,17399,17399
17,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:01:55,17399,17399
18,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:02:06,17399,17399
19,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:02:17,17399,17399
20,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:02:28,17399,17399
21,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:02:39,17399,17399
22,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:02:50,17399,17399
23,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:03:01,17399,17399
24,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:03:11,17399,17399
25,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:03:23,17399,17399
